term,df,sumsq,meansq,statistic,p.value,Protein,p_adj_FDR
df$group,4,132559698.4,33139924.59,5.328553402,0.000727155,TREM2,0.010471031
df$group,4,25956784.17,6489196.043,5.305429822,0.000752029,PLOD3,0.010667535
df$group,4,65537835.95,16384458.99,5.302800198,0.000754912,LEAP.1,0.010667535
df$group,4,267862725.9,66965681.47,5.282715128,0.000777304,S100A12,0.010882261
df$group,4,479913380.8,119978345.2,5.218480213,0.000853553,Apo.F,0.01176737
df$group,4,597413.1604,149353.2901,5.216443097,0.000856092,FABPE,0.01176737
df$group,4,146284.4307,36571.10767,5.207597617,0.000867204,CD34,0.011812729
df$group,4,8629961545,2157490386,5.172960901,0.000912147,LDHA,0.012313982
df$group,4,3034428.062,758607.0156,5.115532335,0.000991938,SIAT1,0.013272661
df$group,4,3145296.46,786324.1149,5.098439484,0.001017029,ZWILC,0.013489021
df$group,4,444280.1729,111070.0432,5.085238115,0.001036848,ZAP70,0.013632299
df$group,4,3415319.118,853829.7795,5.061482223,0.001073505,XXLT1,0.013968729
df$group,4,413906.7693,103476.6923,5.056781188,0.001080914,CD3.zeta.1,0.013968729
df$group,4,3109566.138,777391.5345,5.000069695,0.001174485,IL.6,0.015049328
df$group,4,110573.4339,27643.35848,4.984086097,0.001202313,IL.12.p40,0.015276443
df$group,4,20683.8419,5170.960475,4.973438856,0.00122122,FOXC2,0.015387375
df$group,4,768910.2568,192227.5642,4.967541522,0.001231822,MFAP2,0.015392689
df$group,4,217295.5334,54323.88334,4.919317492,0.001322099,GITR,0.016385356
df$group,4,905891684.9,226472921.2,4.871063906,0.001419155,Serpin.B1,0.016786583
df$group,4,198943.7086,49735.92714,4.895350339,0.001369434,Stomatin.like.protein.2,0.016786583
df$group,4,9504111.981,2376027.995,4.87432362,0.001412376,SDF.1b,0.016786583
df$group,4,1416093.98,354023.495,4.870137812,0.001421086,GNS,0.016786583
df$group,4,8542300.971,2135575.243,4.874382788,0.001412253,OBCAM,0.016786583
df$group,4,823783.7318,205945.933,4.886544259,0.001387255,COX.2,0.016786583
df$group,4,47201733.45,11800433.36,4.860566814,0.001441208,PK3CG,0.016892296
df$group,4,91661539.62,22915384.9,4.820339335,0.001528988,UB2R2,0.017513866
df$group,4,1239660201,309915050.3,4.828138013,0.001511557,IL.16,0.017513866
df$group,4,49025008.16,12256252.04,4.825475468,0.001517485,VEGF.sR2,0.017513866
df$group,4,72923.04503,18230.76126,4.765647189,0.001657099,carbonic.anhydrase.II,0.018838598
df$group,4,37851315.1,9462828.775,4.730440079,0.001745274,CNTFR.alpha.1,0.019692939
df$group,4,3514205882,878551470.4,4.700110916,0.001825038,C6,0.020440421
df$group,4,3754238308,938559577,4.686107716,0.001863102,Prekallikrein,0.020713313
df$group,4,32594829.35,8148707.338,4.660608895,0.001934494,TCP4,0.021350035
df$group,4,194798.8633,48699.71584,4.652219588,0.001958583,DJC11,0.02145926
df$group,4,34812.23733,8703.059333,4.640562915,0.00199256,ABI3,0.021620321
df$group,4,2007105.313,501776.3282,4.63740016,0.002001882,uPA,0.021620321
df$group,4,506888.3894,126722.0973,4.589701045,0.002147941,CNTFR.alpha,0.022871038
df$group,4,101894.5409,25473.63522,4.593014567,0.002137455,GDNF,0.022871038
df$group,4,1934416.758,483604.1896,4.532892801,0.002336055,NA.,0.024700109
df$group,4,35852.17118,8963.042795,4.511811805,0.002410034,HIF.1a,0.02528191
df$group,4,37834774.57,9458693.642,4.507760084,0.002424522,ANGL4,0.02528191
df$group,4,405051.1012,101262.7753,4.502782082,0.002442443,Attractin,0.025294338
df$group,4,2798.91209,699.7280226,4.493879983,0.002474826,CENPQ,0.025455349
df$group,4,6466315.106,1616578.776,4.484342024,0.002510004,TGF.b1,0.025642743
df$group,4,49471.26737,12367.81684,4.462100353,0.002594016,PNOC,0.025974521
df$group,4,7956434.321,1989108.58,4.463696631,0.002587893,STA5A,0.025974521
df$group,4,246042782.4,61510695.6,4.470671481,0.002561309,MEP1A,0.025974521
df$group,4,448097.6982,112024.4245,4.449368707,0.002643382,PTH1R,0.026154003
df$group,4,196926871.4,49231717.84,4.448563529,0.002646536,Collagen.Type.III,0.026154003
df$group,4,12570288.71,3142572.178,4.434716583,0.002701373,IL.18,0.026522568
df$group,4,11927.03633,2981.759081,4.414167681,0.002784878,IL.12.Rb1,0.02699189
df$group,4,822755.7562,205688.939,4.415588162,0.002779022,RSPO3,0.02699189
df$group,4,4519261.196,1129815.299,4.399455401,0.002846264,Fractalkine.CX3CL.1,0.027411157
df$group,4,2202336.483,550584.1208,4.391170059,0.002881436,PPIP1,0.027574245
df$group,4,37658.21914,9414.554786,4.3614545,0.003011235,AMGO1.ECD,0.028635138
df$group,4,2901319.838,725329.9596,4.351934696,0.003054057,CCT3,0.028860835
df$group,4,737509867.9,184377467,4.328683661,0.003161252,PGRC1,0.029688279
df$group,4,6256201.453,1564050.363,4.300119046,0.00329817,kallikrein.10,0.030782919
df$group,4,53181134.53,13295283.63,4.292282837,0.003336769,sICAM.2,0.030952111
df$group,4,1699221.137,424805.2841,4.246282209,0.003572746,MUC18,0.032938972
df$group,4,572743.743,143185.9358,4.238555713,0.003614005,SCG1,0.033117432
df$group,4,1641892.052,410473.013,4.194367154,0.003859402,IL.23,0.03515311
df$group,4,539155837.4,134788959.3,4.176608614,0.003962706,ROR1,0.035877909
df$group,4,4771532.736,1192883.184,4.164660828,0.004033775,NEGR1,0.036131139
df$group,4,115214492.2,28803623.04,4.163879507,0.004038467,Cadherin.5,0.036131139
df$group,4,448759.7233,112189.9308,4.141690674,0.004174048,Endothelin.1,0.037124474
df$group,4,2679000.693,669750.1732,4.137157552,0.004202308,CRAC1,0.037157246
df$group,4,15684920.1,3921230.024,4.116338676,0.004334596,CXCL16..soluble,0.037895068
df$group,4,13565234355,3391308589,4.116140085,0.004335878,MDHC,0.037895068
df$group,4,31838153647,7959538412,4.11142445,0.004366431,a1.Antichymotrypsin,0.037942776
df$group,4,13304487056,3326121764,4.10601404,0.004401753,Carbonic.anhydrase.I,0.038031147
df$group,4,6227731.749,1556932.937,4.092709894,0.004489843,DHRS4,0.038571834
df$group,4,48108673.55,12027168.39,4.078805735,0.004583809,ROBO2,0.038813069
df$group,4,19181333296,4795333324,4.078344271,0.004586962,HPT,0.038813069
df$group,4,3353690.701,838422.6753,4.077178802,0.004594933,IL.2.sRb,0.038813069
df$group,4,43373016.73,10843254.18,4.065749707,0.004673851,NEUR1,0.039043442
df$group,4,601498.1092,150374.5273,4.066276281,0.004670185,KCD15,0.039043442
df$group,4,108109.6371,27027.40927,4.052480893,0.004767191,LFA.1.alpha.L.chain,0.039492173
df$group,4,12163507164,3040876791,4.050707603,0.004779807,Haptoglobin..Mixed.Type,0.039492173
df$group,4,11896634.31,2974158.576,4.042546408,0.004838305,PLOD2,0.039758244
df$group,4,13794912.95,3448728.238,4.035621117,0.004888511,PAI.2,0.039953667
df$group,4,2359446479,589861619.7,3.992768055,0.005211092,Apo.A.IV,0.042134606
df$group,4,26420343.05,6605085.763,3.996084654,0.005185377,CPXM1,0.042134606
df$group,4,1741791747,435447936.6,3.989135042,0.005239409,PSIP1,0.042138224
df$group,4,158144.8662,39536.21656,3.965747784,0.00542545,BMP.7,0.043403597
df$group,4,5622035.482,1405508.87,3.960654276,0.005466843,CBLN2,0.043504564
df$group,4,642626595.1,160656648.8,3.949580899,0.005557937,ENOB,0.043832482
df$group,4,15303825.06,3825956.265,3.934791954,0.005681988,BACD1,0.043832482
df$group,4,27705900.06,6926475.015,3.943312516,0.00561018,FGF.19,0.043832482
df$group,4,44165450.81,11041362.7,3.937378884,0.005660089,Heparin.cofactor.II,0.043832482
df$group,4,5612276.315,1403069.079,3.937238901,0.005661272,BOC,0.043832482
df$group,4,2530700.398,632675.0994,3.936764301,0.005665284,PKDCC,0.043832482
df$group,4,869840686.9,217460171.7,3.924184674,0.00577268,RABP2,0.044306053
df$group,4,10219148.35,2554787.087,3.890480153,0.006070657,NOTC2,0.046357748
df$group,4,7442019777,1860504944,3.879306224,0.00617283,Gelsolin,0.046666596
df$group,4,3345856.312,836464.0779,3.881704984,0.006150751,CD3E,0.046666596
df$group,4,116034676.6,29008669.16,3.875754815,0.006205665,GAS1,0.046681423
df$group,4,186124.3938,46531.09844,3.869501197,0.006263913,ERRalpha,0.046886319
df$group,4,13155.401,3288.85025,3.852429992,0.00642574,CD244,0.047860682
df$group,4,97597403.13,24399350.78,3.844434344,0.006502977,Myoglobin,0.047963423
df$group,4,238847786.4,59711946.59,3.844907091,0.006498385,Notch.1,0.047963423
df$group,4,25613524486,6403381122,3.839045015,0.006555565,Transferrin,0.048116576
df$group,4,1205904.851,301476.2127,3.821421648,0.006730541,IL.22,0.048717871
df$group,4,1068658004,267164500.9,3.824462008,0.006700022,PgR,0.048717871
df$group,4,57225.62643,14306.40661,3.821063037,0.00673415,MCP.3,0.048717871
df$group,4,35637975.55,8909493.887,3.81384104,0.006807247,PCOC1,0.048846307
df$group,4,9954861.472,2488715.368,3.812930918,0.006816515,CILP2,0.048846307
df$group,4,308442.6144,77110.6536,3.80664981,0.006880827,GALT3,0.049074574
df$group,4,1072611.142,268152.7855,3.791040729,0.007043306,GOS.28,0.049997551
df$group,4,49574.22981,12393.55745,3.783430308,0.007123921,N.glycosylase.DNA.lyase,0.050333499
df$group,4,188750.095,47187.52375,3.77157056,0.007251405,PXDC2.ECD,0.05099593
df$group,4,211057702.6,52764425.65,3.764329387,0.00733037,ERBB1,0.051128538
df$group,4,176781197.9,44195299.48,3.763643749,0.007337892,SPON2,0.051128538
df$group,4,190904.192,47726.04799,3.741312047,0.007587173,IFN.w,0.05262296
df$group,4,16142770.03,4035692.508,3.717553817,0.007861748,MMP.10,0.053955791
df$group,4,42575.58801,10643.897,3.710785449,0.007941786,Apoptosis.regulator.Bcl.W,0.053955791
df$group,4,562930817.2,140732704.3,3.706200561,0.00799647,Aldose.reductase,0.053955791
df$group,4,645783037.9,161445759.5,3.698174313,0.008093112,C5,0.053955791
df$group,4,102665503.8,25666375.95,3.700228365,0.008068268,HDAC8,0.053955791
df$group,4,56468625.48,14117156.37,3.70358469,0.008027839,BGN,0.053955791
df$group,4,3451242.041,862810.5101,3.713435325,0.007910354,a2.HS.Glycoprotein,0.053955791
df$group,4,2603009142,650752285.4,3.718294247,0.007853042,Carbonic.anhydrase.III,0.053955791
df$group,4,1462593.24,365648.31,3.697564232,0.008100506,RBM39,0.053955791
df$group,4,60368333.06,15092083.26,3.685643748,0.008246345,Proteinase.3,0.05468629
df$group,4,97056.91403,24264.22851,3.645714066,0.008754388,HIP1R,0.057801898
df$group,4,66919696.32,16729924.08,3.637661663,0.008860598,PLA2R,0.058248799
df$group,4,77984.57896,19496.14474,3.632806413,0.008925263,NOS,0.058419903
df$group,4,39103.11198,9775.777996,3.615122098,0.009164833,RAG.1,0.059218924
df$group,4,271161.0347,67790.25867,3.618041907,0.009124837,Caspase.7,0.059218924
df$group,4,1646872.364,411718.091,3.617521162,0.009131958,SEM3G,0.059218924
df$group,4,6161492.861,1540373.215,3.600090685,0.009373544,R4RL1,0.060309779
df$group,4,5031383.031,1257845.758,3.584579403,0.009593929,EMAP.2,0.061466192
df$group,4,1595321454,398830363.4,3.569918092,0.009807026,Angiostatin,0.062566345
df$group,4,260935.0998,65233.77494,3.565762639,0.009868285,Enterokinase,0.062692636
df$group,4,66240925.75,16560231.44,3.540927368,0.010242506,SDF.1.1,0.064797776
df$group,4,7483.174875,1870.793719,3.516580372,0.010623211,GORAB,0.066926228
df$group,4,207806138.7,51951534.68,3.508671808,0.010749908,FETUB,0.067443408
df$group,4,368650.0192,92162.5048,3.502397052,0.010851511,RT14,0.067799523
df$group,4,5488308.205,1372077.051,3.494315758,0.010983788,IL.5.Ra.1,0.06834357
df$group,4,69833.07794,17458.26948,3.48567103,0.011127081,GNAS3,0.06895142
df$group,4,76849990.57,19212497.64,3.478678071,0.011244367,NTRI,0.069209999
df$group,4,5328233920,1332058480,3.477730394,0.011260357,Pseudocholinesterase,0.069209999
df$group,4,4143609.093,1035902.273,3.461924894,0.011530427,TARC,0.07029841
df$group,4,12705446.23,3176361.558,3.46329578,0.011506747,NEO1,0.07029841
df$group,4,131994539.7,32998634.92,3.457628998,0.011604949,Eotaxin,0.070468607
df$group,4,47379.4297,11844.85743,3.437804769,0.011955159,TLR2,0.072016735
df$group,4,4033724.683,1008431.171,3.438432396,0.011943911,Glutaminyl.cyclase,0.072016735
df$group,4,4637497.32,1159374.33,3.428864987,0.012116539,RBM19,0.072442312
df$group,4,42882766.51,10720691.63,3.428584901,0.01212163,TrkB,0.072442312
df$group,4,420711002.2,105177750.6,3.418472814,0.012306887,C3,0.073259897
df$group,4,12234596.69,3058649.173,3.406356862,0.012532602,QPCTL,0.074310956
df$group,4,36778922.76,9194730.689,3.402082421,0.01261322,LIGO1,0.07449683
df$group,4,2129694.78,532423.6951,3.386456919,0.012912377,CLC7A,0.075966983
df$group,4,31829672.58,7957418.144,3.383252768,0.012974596,Apo.A.I,0.075995943
df$group,4,9334989.909,2333747.477,3.381035714,0.013017824,GFRa.3,0.075995943
df$group,4,63113.2881,15778.32203,3.361374548,0.013407546,CD3G,0.077970034
df$group,4,11840605.72,2960151.431,3.353774461,0.013561311,CNTN6,0.078562075
df$group,4,471770.0823,117942.5206,3.347646938,0.013686569,IL.12.Rb1.1,0.078985087
df$group,4,37903636.63,9475909.158,3.344329029,0.013754877,GLU2B,0.07907747
df$group,4,270859448.4,67714862.11,3.321624717,0.014231568,CFA36,0.08150807
df$group,4,242591.6102,60647.90255,3.296966248,0.014768064,bFGF.R,0.084261556
df$group,4,238884.9489,59721.23723,3.286718582,0.014996941,FCGR1,0.085245769
df$group,4,49843332.19,12460833.05,3.268629625,0.015409657,HAI.1,0.087263674
df$group,4,344959.4198,86239.85494,3.25405773,0.015750386,AKA7A,0.088860388
df$group,4,1340065.984,335016.4959,3.251498829,0.015810994,TBP,0.088870719
df$group,4,386567143.5,96641785.88,3.247548937,0.015905007,DKK1,0.089068039
df$group,4,732041.559,183010.3898,3.240866001,0.016065346,TEAD3,0.089606626
df$group,4,14474231.52,3618557.88,3.238615228,0.016119711,IL.5.Ra,0.089606626
df$group,4,94880.71768,23720.17942,3.232518564,0.016267895,ATX10,0.09009911
df$group,4,394551.3414,98637.83535,3.200444917,0.017070221,b.Catenin,0.094197719
df$group,4,2107635.179,526908.7949,3.191920806,0.017290035,ARRD3,0.095063756
df$group,4,36490.54143,9122.635357,3.149972223,0.018413726,CSPG4,0.100875194
df$group,4,3379034.406,844758.6014,3.142478091,0.018622029,UGPA1,0.101410838
df$group,4,36702.05761,9175.514404,3.141633817,0.018645644,EPO.R,0.101410838
df$group,4,1985613.12,496403.28,3.132333496,0.018907761,SEM4D,0.102467869
df$group,4,7335.388426,1833.847106,3.129403127,0.018991111,IL.7,0.102551999
df$group,4,422163608.4,105540902.1,3.12004798,0.019259668,SPA11,0.103632091
df$group,4,39320.91652,9830.229131,3.114739335,0.019413747,IL3RB.ECD,0.104090727
df$group,4,40877691.19,10219422.8,3.096668695,0.019947523,HB.EGF,0.105826857
df$group,4,8050871461,2012717865,3.097851977,0.019912126,Peroxiredoxin.6,0.105826857
df$group,4,531720.6711,132930.1678,3.097324056,0.019927911,SEM4B,0.105826857
df$group,4,70572064.06,17643016.02,3.08160045,0.020403805,HO.1,0.107781968
df$group,4,16609501.23,4152375.307,3.079813122,0.020458614,NRX3B,0.107781968
df$group,4,284889836.9,71222459.21,3.077234225,0.020537956,DCC,0.107824271
df$group,4,2897647.868,724411.9671,3.073891151,0.020641267,NET1,0.107991679
df$group,4,481713.5527,120428.3882,3.063513958,0.020965268,BMP.4,0.109308568
df$group,4,215618.3607,53904.59018,3.054908044,0.021237813,NA..4,0.109971142
df$group,4,3941341777,985335444.2,3.055275934,0.02122609,annexin.I,0.109971142
df$group,4,11475778.17,2868944.541,3.050566314,0.021376653,BCL2.like.1.protein,0.110312286
df$group,4,10468966.16,2617241.54,3.041784044,0.021660269,SMOC2,0.111018056
df$group,4,4861586.538,1215396.635,3.043332065,0.021610006,NG36,0.111018056
df$group,4,140622.4914,35155.62286,3.025458337,0.02219751,MCP.2,0.11262629
df$group,4,4305565960,1076391490,3.026077065,0.022176908,RANTES,0.11262629
df$group,4,3961367.786,990341.9464,3.029767206,0.022054437,LIRA4,0.11262629
df$group,4,2938396.174,734599.0434,3.012847319,0.022621593,Nectin.like.protein.2,0.114394141
df$group,4,96983.44335,24245.86084,2.997810969,0.02313781,CEBPA,0.115902709
df$group,4,1476362.86,369090.7151,2.995260327,0.023226535,PSB9,0.115902709
df$group,4,31609738.39,7902434.598,2.996013249,0.023200309,Bone.proteoglycan.II,0.115902709
df$group,4,24015.71928,6003.929821,2.995330476,0.02322409,TM16F,0.115902709
df$group,4,102508872.7,25627218.17,2.990975683,0.023376342,Macrophage.scavenger.receptor.ECD,0.116098182
df$group,4,15995.45801,3998.864502,2.989752766,0.023419276,SPI2,0.116098182
df$group,4,725076234,181269058.5,2.969037053,0.024158626,Ferritin.light.chain,0.118983199
df$group,4,2263976.609,565994.1523,2.969363696,0.024146789,DERM,0.118983199
df$group,4,22145033.69,5536258.422,2.940085587,0.025231043,PB1,0.123861484
df$group,4,91935.2005,22983.80013,2.931272225,0.025566827,MCP.3.1,0.1251037
df$group,4,725763.4048,181440.8512,2.925317619,0.025796211,SPCS1,0.125486472
df$group,4,6286422.493,1571605.623,2.920660799,0.025977028,Flt.3,0.125486472
df$group,4,3788904545,947226136.2,2.923384598,0.025871114,PDGF.BB,0.125486472
df$group,4,3267244.466,816811.1166,2.921712439,0.025936084,RAB26,0.125486472
df$group,4,22738370.21,5684592.553,2.911608968,0.026332114,VEGF,0.126126164
df$group,4,9659811.875,2414952.969,2.910910834,0.026359701,B7.2.1,0.126126164
df$group,4,1298883705,324720926.2,2.912378214,0.026301751,NOE2,0.126126164
df$group,4,5016772.936,1254193.234,2.899171857,0.026827894,Topoisomerase.I,0.127559042
df$group,4,1017147869,254286967.3,2.899354367,0.026820552,ITI.heavy.chain.H4,0.127559042
df$group,4,695611.6221,173902.9055,2.895659184,0.026969594,CD109,0.127830804
df$group,4,18338052.2,4584513.049,2.882458242,0.027508809,PCDH9,0.129474629
df$group,4,15783.40672,3945.85168,2.880896636,0.027573301,BAI3,0.129474629
df$group,4,80099224.16,20024806.04,2.881628923,0.02754304,Angiotensinogen,0.129474629
df$group,4,23628646.17,5907161.543,2.865703776,0.028208645,NCAM2,0.131672876
df$group,4,75658.41226,18914.60306,2.865538977,0.028215616,Neurotrophin.5,0.131672876
df$group,4,367351.8536,91837.9634,2.85617528,0.028614523,CSTN2,0.133123565
df$group,4,90056.36413,22514.09103,2.853354467,0.028735789,Integrin.alpha.M,0.133277648
df$group,4,157265.1355,39316.28387,2.846030387,0.029053041,Kallikrein.4,0.134336998
df$group,4,9873564.158,2468391.04,2.841759345,0.029239652,Noggin,0.134787665
df$group,4,208688.2199,52172.05498,2.807224904,0.030792957,IL.17F,0.141516568
df$group,4,13334951.42,3333737.855,2.799677289,0.031143205,annexin.II,0.142692504
df$group,4,5055895.535,1263973.884,2.796743535,0.031280412,Paraoxonase.2,0.142888166
df$group,4,16601.41849,4150.354623,2.780912214,0.032031243,RLA2,0.145877226
df$group,4,265998319.5,66499579.86,2.776714749,0.032233299,NPS.PLA2,0.146079864
df$group,4,800340.3912,200085.0978,2.774858394,0.032323063,LSAMP,0.146079864
df$group,4,42571.92595,10642.98149,2.77398094,0.032365578,SLTM,0.146079864
